,Close,High,Low,Open,Volume,rsi_14,rsi_30,roc_9,mom_30,macd,ema_10,ema_30,ema_200,%k_10,%d_10,%k_30,%d_30,%k_200,%d_200,bb_mavg,bb_high,bb_low,atr_14,cci_20,cmf_20,obv,adl
2024-08-28,59027.625,60236.44921875,57890.67578125,59507.92578125,40289564698,44.61427888575104,46.57561778927081,-0.7829905654009724,-11.661626884481597,-6.606522956331901,61055.162413804755,61092.0120799089,59614.75125203145,16.30624225647115,36.54235393052667,55.446917633385056,57.048982772027195,43.662669533847875,50.81404012946704,60387.328125,64329.20852003231,56445.44772996769,2718.0973037277413,-67.23517819588623,-0.06042648646468554,1041237117253,4633675279758.69
2024-08-29,59388.1796875,61184.08203125,58786.2265625,59027.46875,32224990582,45.66736604200112,47.05052659739108,0.6361107479674528,-10.291135072748364,-135.21797651496308,60752.07464538571,60982.087409430904,59612.496808603275,21.074548492059957,20.122856235889408,58.04147932029511,54.41584998466806,44.7711113978558,45.12196972923138,60312.7314453125,64270.919726363085,56354.543164261915,2695.222886943617,-30.01489925655451,-0.09994588576593245,1073462107835,4617629691177.131
2024-08-30,59119.4765625,59896.88671875,57768.53125,59388.6015625,32292756405,44.980959410897476,46.73027311346538,-3.360373374393687,-8.511044986594552,-255.8759973769702,60455.23863031558,60861.918967693426,59607.591134512695,18.690727109612286,18.690505952714446,60.6983724515531,58.06225646841108,42.27099293999419,43.568257957232625,60221.4146484375,64201.177525468054,56241.65177140695,2654.7323570726444,-65.32057518486238,-0.08552748343927877,1041169351430,4626331729611.229
2024-08-31,58969.8984375,59432.59375,58768.78515625,59117.48046875,12403470760,44.579271716777775,46.54782164608554,-2.338474437127736,-9.77332603373752,-359.42482714205835,60185.17677707638,60739.853127035785,59601.2459335474,16.62126960450512,18.79551506872577,60.045540411935676,59.59513072792796,39.98833620592988,42.34348018125996,60233.9353515625,64196.256027802345,56271.61467532265,2512.523516835313,-57.3094673704476,-0.06466469656752828,1028765880670,4621443987713.188
2024-09-01,57325.48828125,59062.0703125,57217.82421875,58969.80078125,24592449997,40.31670142298821,44.5688228618663,-10.560785170544769,-6.65891671914535,-567.6348364065343,59665.233414198854,60519.57152408187,59578.601578798174,1.384106329416503,12.232034347844618,51.67971728673413,57.47454338340763,33.31156747339921,38.5236322064411,60132.483984375,64279.284278916486,55985.68368983352,2464.789415186362,-105.72347123726162,-0.11191644785215484,1004173430673,4599722871517.549
2024-09-02,59112.48046875,59403.0703125,57136.02734375,57326.96875,27036454524,46.32321256337616,47.097304070465924,-7.894346025173006,-2.58340616233804,-581.741480144723,59564.7328786627,60428.791455995946,59573.96355780267,25.144451937397783,14.383275957106449,62.93623080638585,58.22049616835187,40.567259441384515,37.95572104023787,60057.6296875,64221.293930290456,55893.96544470954,2450.6646690123357,-68.68453560627438,-0.0968861260916747,1031209885197,4619828253976.324
2024-09-03,57431.0234375,59815.05859375,57425.16796875,59106.19140625,26666961053,42.03632571239543,45.09504252581783,-10.729270008653025,-1.1802973340540421,-720.2974857926456,59176.78570754221,60235.38706770589,59552.640770535974,3.7529425854797167,10.093833617431315,52.34449798439831,55.65348202583942,33.74006995421556,35.872965622999764,59992.3173828125,64276.028277373756,55708.606488251244,2446.3236658685973,-77.27445192515027,-0.10014353340120297,1004542924144,4593291966315.211
2024-09-04,57971.5390625,58511.5703125,55673.1640625,57430.34765625,35627680312,43.835657257313215,45.860436857219746,-7.807044457789554,7.371688504250491,-777.5261869607639,58957.649953898166,60089.33235769261,59536.90841523214,26.06889126663964,18.32209526317236,36.27153936708475,50.51742271928962,35.93471574299748,36.747348379532525,60012.889453125,64253.414966807,55772.36393944299,2474.329564735126,-110.20195670891658,-0.04542013614354377,1040170604456,4615362700201.032
2024-09-05,56160.48828125,58300.58203125,55712.453125,57971.703125,31030280656,39.42014986727028,43.74663643304793,-5.619180337920331,0.22516893770105303,-957.9740785516187,58449.07510432577,59835.858546309224,59503.312194993516,6.465215683388664,12.095683178502654,14.841877635780582,34.4859716624212,28.58133910316304,32.75204160012537,59876.20859375,64417.70542188763,55334.711765612374,2482.4580891290457,-128.35269889664184,-0.09733043598349773,1009140323800,4595075823097.011
2024-09-06,53948.75390625,56976.109375,52598.69921875,56160.19140625,49361693566,34.80878973815575,41.33941670217054,-8.604227416823901,-1.9603067502518274,-1264.868199273209,57630.83488649381,59456.045343724756,59448.0429582896,15.725037741291748,16.086381563773333,10.889537739573516,20.66765158081294,19.60107413487844,28.039042993679658,59599.69765625,64826.04865692155,54373.34665557845,2617.8118082091137,-187.21292049163276,-0.1347998467041597,959778630234,4576161806766.176
